total_cells,active_cells,rss_kb,cpu_pct,fds,p50_us,p95_us,p99_us,hit_rate,active_conns
1000000,32,25508,70.1,108,24.50,48.08,64.17,100.00,32
1000000,500,85540,52.1,1512,24.62,48.42,62.42,100.00,500
1000000,5000,661900,83.6,15012,25.54,49.12,64.00,100.00,5000
